Feature_ID	ntips_ML_glottolog	zeroes_ML_glottolog	ones_ML_glottolog	min_percent_ML_glottolog	min_ML_glottolog	Proto-language	Prediction	Feature	Source (Latex)	Source	Comment	Language_ID	conflict	glottolog_ML_prediction	glottolog_ML_prediction_0	glottolog_ML_prediction_1	ML result (Glottolog-tree)	Abbreviation	Question
GB090	267	131	136	0.49063670411985016	131	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0.03412861164574704	0.965871388354253	True Positive	GB090 S-ArgPfxV	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB090	267	131	136	0.49063670411985016	131	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9755495616306235	0.024450438369376583	NA	GB090 S-ArgPfxV	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB090	267	131	136	0.49063670411985016	131	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9960138496219587	0.003986150378041245	NA	GB090 S-ArgPfxV	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB090	267	131	136	0.49063670411985016	131	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9968167230438134	0.0031832769561866026	NA	GB090 S-ArgPfxV	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB091	263	247	16	0.060836501901140684	16	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	0.9958036776914408	0.004196322308559143	True Negative	GB091 A-ArgSfxV	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB091	263	247	16	0.060836501901140684	16	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9980742289356404	0.0019257710643596484	NA	GB091 A-ArgSfxV	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB091	263	247	16	0.060836501901140684	16	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9947055308367	0.005294469163300056	NA	GB091 A-ArgSfxV	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB091	263	247	16	0.060836501901140684	16	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9953162505630261	0.004683749436973938	NA	GB091 A-ArgSfxV	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB092	263	135	128	0.4866920152091255	128	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0.06897193660869164	0.9310280633913083	True Positive	GB092 A-ArgPfxV	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB092	263	135	128	0.4866920152091255	128	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9683631340600831	0.03163686593991693	NA	GB092 A-ArgPfxV	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB092	263	135	128	0.4866920152091255	128	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9937522396576544	0.0062477603423456	NA	GB092 A-ArgPfxV	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB092	263	135	128	0.4866920152091255	128	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9950759942732164	0.004924005726783702	NA	GB092 A-ArgPfxV	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB093	265	108	157	0.4075471698113208	108	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	6.878928752477927e-4	0.9993121071247523	True Positive	GB093 P-ArgSfxV	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB093	265	108	157	0.4075471698113208	108	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0.1621636361661084	0.8378363638338916	NA	GB093 P-ArgSfxV	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB093	265	108	157	0.4075471698113208	108	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.8817651353073916	0.11823486469260835	NA	GB093 P-ArgSfxV	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB093	265	108	157	0.4075471698113208	108	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9943697172231901	0.005630282776809896	NA	GB093 P-ArgSfxV	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB094	265	260	5	0.018867924528301886	5	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	0.9864774689636484	0.013522531036351561	True Negative	GB094 P-ArgPfxV	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB094	265	260	5	0.018867924528301886	5	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9882602758386633	0.011739724161336673	NA	GB094 P-ArgPfxV	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB094	265	260	5	0.018867924528301886	5	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9851165428071701	0.014883457192829979	NA	GB094 P-ArgPfxV	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB094	265	260	5	0.018867924528301886	5	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.986838462682808	0.013161537317192187	NA	GB094 P-ArgPfxV	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB095	231	214	17	0.0735930735930736	17	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9264067453896333	0.07359325461036668	NA	GB095 CaseSplitTAM	Are variations in marking strategies of core participants based on TAM distinctions?
GB095	231	214	17	0.0735930735930736	17	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9264069589693303	0.0735930410306697	NA	GB095 CaseSplitTAM	Are variations in marking strategies of core participants based on TAM distinctions?
GB095	231	214	17	0.0735930735930736	17	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9264069275334144	0.07359307246658552	NA	GB095 CaseSplitTAM	Are variations in marking strategies of core participants based on TAM distinctions?
GB095	231	214	17	0.0735930735930736	17	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9264069432514002	0.07359305674859991	NA	GB095 CaseSplitTAM	Are variations in marking strategies of core participants based on TAM distinctions?
GB096	238	210	28	0.11764705882352941	28	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9450123167149302	0.05498768328506989	NA	GB096 CaseSplitVerbClass	Are variations in marking strategies of core participants based on verb classes?
GB096	238	210	28	0.11764705882352941	28	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.910212901509159	0.08978709849084092	NA	GB096 CaseSplitVerbClass	Are variations in marking strategies of core participants based on verb classes?
GB096	238	210	28	0.11764705882352941	28	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.7751421200176768	0.22485787998232312	NA	GB096 CaseSplitVerbClass	Are variations in marking strategies of core participants based on verb classes?
GB096	238	210	28	0.11764705882352941	28	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.8097823520864829	0.19021764791351706	NA	GB096 CaseSplitVerbClass	Are variations in marking strategies of core participants based on verb classes?
GB098	238	189	49	0.20588235294117646	49	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.7941177586192888	0.20588224138071112	NA	GB098 CaseSplitPerson	Are variations in marking strategies of core participants based on person distinctions?
GB098	238	189	49	0.20588235294117646	49	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.79411775861931	0.20588224138068992	NA	GB098 CaseSplitPerson	Are variations in marking strategies of core participants based on person distinctions?
GB098	238	189	49	0.20588235294117646	49	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.794117627080049	0.205882372919951	NA	GB098 CaseSplitPerson	Are variations in marking strategies of core participants based on person distinctions?
GB098	238	189	49	0.20588235294117646	49	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.7941176928496063	0.2058823071503938	NA	GB098 CaseSplitPerson	Are variations in marking strategies of core participants based on person distinctions?
GB099	202	197	5	0.024752475247524754	5	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9731586980536813	0.02684130194631873	NA	GB099 VSupplPerson	Can verb stems alter according to the person of a core participant?
GB099	202	197	5	0.024752475247524754	5	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.7508070646980216	0.24919293530197847	NA	GB099 VSupplPerson	Can verb stems alter according to the person of a core participant?
GB099	202	197	5	0.024752475247524754	5	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9457318909674916	0.05426810903250841	NA	GB099 VSupplPerson	Can verb stems alter according to the person of a core participant?
GB099	202	197	5	0.024752475247524754	5	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9917161275839941	0.008283872416005839	NA	GB099 VSupplPerson	Can verb stems alter according to the person of a core participant?
GB103	217	190	27	0.12442396313364056	27	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.866198364234798	0.13380163576520196	NA	GB103 BenefApplBoundV	Is there a benefactive applicative marker on the verb (including indexing)?
GB103	217	190	27	0.12442396313364056	27	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.6451954236021085	0.3548045763978915	NA	GB103 BenefApplBoundV	Is there a benefactive applicative marker on the verb (including indexing)?
GB103	217	190	27	0.12442396313364056	27	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9554717687461735	0.04452823125382661	NA	GB103 BenefApplBoundV	Is there a benefactive applicative marker on the verb (including indexing)?
GB103	217	190	27	0.12442396313364056	27	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.979682313633952	0.020317686366047985	NA	GB103 BenefApplBoundV	Is there a benefactive applicative marker on the verb (including indexing)?
GB104	219	191	28	0.1278538812785388	28	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Present	0.08367473321518962	0.9163252667848104	NA	GB104 AppInstrBoundV	Is there an instrumental applicative marker on the verb (including indexing)?
GB104	219	191	28	0.1278538812785388	28	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0.021403703795938887	0.9785962962040611	NA	GB104 AppInstrBoundV	Is there an instrumental applicative marker on the verb (including indexing)?
GB104	219	191	28	0.1278538812785388	28	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.3453284256085813	0.6546715743914188	NA	GB104 AppInstrBoundV	Is there an instrumental applicative marker on the verb (including indexing)?
GB104	219	191	28	0.1278538812785388	28	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9907486244626001	0.009251375537399884	NA	GB104 AppInstrBoundV	Is there an instrumental applicative marker on the verb (including indexing)?
GB105	204	110	94	0.46078431372549017	94	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	0.9961751725805659	0.0038248274194342268	True Negative	GB105 CaseRecipientObj	Can the recipient in a ditransitive construction be marked like the monotransitive patient?
GB105	204	110	94	0.46078431372549017	94	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.7492372542391523	0.2507627457608476	NA	GB105 CaseRecipientObj	Can the recipient in a ditransitive construction be marked like the monotransitive patient?
GB105	204	110	94	0.46078431372549017	94	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.8953273007021834	0.10467269929781664	NA	GB105 CaseRecipientObj	Can the recipient in a ditransitive construction be marked like the monotransitive patient?
GB105	204	110	94	0.46078431372549017	94	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.771968987294162	0.22803101270583812	NA	GB105 CaseRecipientObj	Can the recipient in a ditransitive construction be marked like the monotransitive patient?
GB107	261	196	65	0.24904214559386972	65	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9842021390688692	0.015797860931130808	NA	GB107 NEGBoundV	Can standard negation be marked by an affix, clitic or modification of the verb?
GB107	261	196	65	0.24904214559386972	65	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.994205776486695	0.00579422351330501	NA	GB107 NEGBoundV	Can standard negation be marked by an affix, clitic or modification of the verb?
GB107	261	196	65	0.24904214559386972	65	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9828999497245295	0.01710005027547041	NA	GB107 NEGBoundV	Can standard negation be marked by an affix, clitic or modification of the verb?
GB107	261	196	65	0.24904214559386972	65	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9705016779088258	0.029498322091174155	NA	GB107 NEGBoundV	Can standard negation be marked by an affix, clitic or modification of the verb?
GB108	244	164	80	0.32786885245901637	80	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.7974761220857938	0.20252387791420626	NA	GB108 DirLocBoundV	Is there directional or locative morphological marking on verbs?
GB108	244	164	80	0.32786885245901637	80	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.796065823359438	0.203934176640562	NA	GB108 DirLocBoundV	Is there directional or locative morphological marking on verbs?
GB108	244	164	80	0.32786885245901637	80	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9677443184009772	0.032255681599022895	NA	GB108 DirLocBoundV	Is there directional or locative morphological marking on verbs?
GB108	244	164	80	0.32786885245901637	80	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.8468371306080589	0.15316286939194118	NA	GB108 DirLocBoundV	Is there directional or locative morphological marking on verbs?
GB109	200	183	17	0.085	17	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9753989997530185	0.024601000246981506	NA	GB109 VSupplNUM	Is there verb suppletion for participant number?
GB109	200	183	17	0.085	17	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9406135304579359	0.05938646954206417	NA	GB109 VSupplNUM	Is there verb suppletion for participant number?
GB109	200	183	17	0.085	17	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.24463895486328793	0.7553610451367121	NA	GB109 VSupplNUM	Is there verb suppletion for participant number?
GB109	200	183	17	0.085	17	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9998882221014379	1.1177789856206798e-4	NA	GB109 VSupplNUM	Is there verb suppletion for participant number?
GB110	202	202	0	0	0	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GB110 VSupplTA	Is there verb suppletion for tense or aspect?
GB110	202	202	0	0	0	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GB110 VSupplTA	Is there verb suppletion for tense or aspect?
GB110	202	202	0	0	0	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GB110 VSupplTA	Is there verb suppletion for tense or aspect?
GB110	202	202	0	0	0	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GB110 VSupplTA	Is there verb suppletion for tense or aspect?
GB111	246	222	24	0.0975609756097561	24	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9856167365489407	0.014383263451059291	NA	GB111 VerbClass	Are there conjugation classes?
GB111	246	222	24	0.0975609756097561	24	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9917832247812842	0.008216775218715841	NA	GB111 VerbClass	Are there conjugation classes?
GB111	246	222	24	0.0975609756097561	24	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9828111310857833	0.017188868914216674	NA	GB111 VerbClass	Are there conjugation classes?
GB111	246	222	24	0.0975609756097561	24	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.985347856778888	0.01465214322111197	NA	GB111 VerbClass	Are there conjugation classes?
GB113	242	49	193	0.2024793388429752	49	Proto-Central Pacific	1	NA	NA	NA	NA	NA	NA	Present	0.006898705814829597	0.9931012941851705	True Positive	GB113 TransitivizingBound	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?
GB113	242	49	193	0.2024793388429752	49	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0.006112989307013688	0.9938870106929864	True Positive	GB113 TransitivizingBound	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?
GB113	242	49	193	0.2024793388429752	49	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0.07390223786600482	0.9260977621339952	True Positive	GB113 TransitivizingBound	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?
GB113	242	49	193	0.2024793388429752	49	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.22118628191744014	0.7788137180825598	NA	GB113 TransitivizingBound	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?
GB114	214	185	29	0.13551401869158877	29	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.8262455875117949	0.17375441248820503	NA	GB114 ReflBoundV	Is there a phonologically bound reflexive marker on the verb?
GB114	214	185	29	0.13551401869158877	29	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9323911319132397	0.06760886808676021	NA	GB114 ReflBoundV	Is there a phonologically bound reflexive marker on the verb?
GB114	214	185	29	0.13551401869158877	29	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.8785036156797947	0.12149638432020528	NA	GB114 ReflBoundV	Is there a phonologically bound reflexive marker on the verb?
GB114	214	185	29	0.13551401869158877	29	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9200916504730557	0.07990834952694419	NA	GB114 ReflBoundV	Is there a phonologically bound reflexive marker on the verb?
GB115	228	104	124	0.45614035087719296	104	Proto-Central Pacific	1	NA	NA	NA	NA	NA	NA	Present	0.06351776135611055	0.9364822386438895	True Positive	GB115 RecipBoundV	Is there a phonologically bound reciprocal marker on the verb?
GB115	228	104	124	0.45614035087719296	104	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	0.21239627402614358	0.7876037259738564	True Positive	GB115 RecipBoundV	Is there a phonologically bound reciprocal marker on the verb?
GB115	228	104	124	0.45614035087719296	104	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0.10914426110408698	0.890855738895913	True Positive	GB115 RecipBoundV	Is there a phonologically bound reciprocal marker on the verb?
GB115	228	104	124	0.45614035087719296	104	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9058854726919471	0.09411452730805302	NA	GB115 RecipBoundV	Is there a phonologically bound reciprocal marker on the verb?
GB116	222	219	3	0.013513513513513514	3	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9945203438282484	0.005479656171751598	NA	GB116 VClassifiers	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?
GB116	222	219	3	0.013513513513513514	3	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9976206857158655	0.002379314284134598	NA	GB116 VClassifiers	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?
GB116	222	219	3	0.013513513513513514	3	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9998245616235347	1.7543837646528214e-4	NA	GB116 VClassifiers	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?
GB116	222	219	3	0.013513513513513514	3	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9968493523626746	0.003150647637325376	NA	GB116 VClassifiers	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?
GB117	231	178	53	0.22943722943722944	53	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	0.9927474104646141	0.007252589535385885	True Negative	GB117 CopulaPredNom	Is there a copula for predicate nominals?
GB117	231	178	53	0.22943722943722944	53	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.8166612208079094	0.18333877919209055	NA	GB117 CopulaPredNom	Is there a copula for predicate nominals?
GB117	231	178	53	0.22943722943722944	53	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.7166519393717413	0.2833480606282586	NA	GB117 CopulaPredNom	Is there a copula for predicate nominals?
GB117	231	178	53	0.22943722943722944	53	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9492896208062369	0.050710379193763054	NA	GB117 CopulaPredNom	Is there a copula for predicate nominals?
GB118	216	41	175	0.18981481481481483	41	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9684199669263026	0.031580033073697375	NA	GB118 SerialV	Are there serial verb constructions?
GB118	216	41	175	0.18981481481481483	41	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9505096349153422	0.049490365084657796	NA	GB118 SerialV	Are there serial verb constructions?
GB118	216	41	175	0.18981481481481483	41	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Half	0.595699974725022	0.40430002527497794	NA	GB118 SerialV	Are there serial verb constructions?
GB118	216	41	175	0.18981481481481483	41	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9446762657785883	0.05532373422141175	NA	GB118 SerialV	Are there serial verb constructions?
GB119	246	194	52	0.21138211382113822	52	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9798901448514168	0.020109855148583204	NA	GB119 MoodAUX	Can mood be marked by an inflecting word (""""""""""""""""auxiliary verb"""""""""""""""")?
GB119	246	194	52	0.21138211382113822	52	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9701330904191425	0.029866909580857484	NA	GB119 MoodAUX	Can mood be marked by an inflecting word (""""""""""""""""auxiliary verb"""""""""""""""")?
GB119	246	194	52	0.21138211382113822	52	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9683529080412885	0.03164709195871155	NA	GB119 MoodAUX	Can mood be marked by an inflecting word (""""""""""""""""auxiliary verb"""""""""""""""")?
GB119	246	194	52	0.21138211382113822	52	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9736643298127116	0.02633567018728838	NA	GB119 MoodAUX	Can mood be marked by an inflecting word (""""""""""""""""auxiliary verb"""""""""""""""")?
GB120	251	190	61	0.24302788844621515	61	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.7550065236351751	0.244993476364825	NA	GB120 AspectAUX	Can aspect be marked by an inflecting word (""""""""""""""""auxiliary verb"""""""""""""""")?
GB120	251	190	61	0.24302788844621515	61	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9207975502919798	0.07920244970802016	NA	GB120 AspectAUX	Can aspect be marked by an inflecting word (""""""""""""""""auxiliary verb"""""""""""""""")?
GB120	251	190	61	0.24302788844621515	61	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.910505239010706	0.08949476098929392	NA	GB120 AspectAUX	Can aspect be marked by an inflecting word (""""""""""""""""auxiliary verb"""""""""""""""")?
GB120	251	190	61	0.24302788844621515	61	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9281558052445625	0.0718441947554374	NA	GB120 AspectAUX	Can aspect be marked by an inflecting word (""""""""""""""""auxiliary verb"""""""""""""""")?
GB121	250	219	31	0.124	31	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	0.8649761812548227	0.1350238187451773	True Negative	GB121 AUXTense	Can tense be marked by an inflecting word (""""""""""""""""auxiliary verb"""""""""""""""")?
GB121	250	219	31	0.124	31	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.6465434819153444	0.35345651808465556	NA	GB121 AUXTense	Can tense be marked by an inflecting word (""""""""""""""""auxiliary verb"""""""""""""""")?
GB121	250	219	31	0.124	31	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9273582392114181	0.07264176078858184	NA	GB121 AUXTense	Can tense be marked by an inflecting word (""""""""""""""""auxiliary verb"""""""""""""""")?
GB121	250	219	31	0.124	31	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9625788886821388	0.03742111131786123	NA	GB121 AUXTense	Can tense be marked by an inflecting word (""""""""""""""""auxiliary verb"""""""""""""""")?
GB122	172	88	84	0.4883720930232558	84	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Present	0.39101782086411446	0.6089821791358855	NA	GB122 VCompounding	Is verb compounding a regular process?
GB122	172	88	84	0.4883720930232558	84	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0.24594609311222268	0.7540539068877773	NA	GB122 VCompounding	Is verb compounding a regular process?
GB122	172	88	84	0.4883720930232558	84	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.24826640633642422	0.7517335936635757	NA	GB122 VCompounding	Is verb compounding a regular process?
GB122	172	88	84	0.4883720930232558	84	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.8641774742684849	0.13582252573151501	NA	GB122 VCompounding	Is verb compounding a regular process?
GB123	121	96	25	0.2066115702479339	25	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Not enough languages	NA	NA	Not enough languages	GB123 LightVerb	Are there verb-adjunct (aka light-verb) constructions?
GB123	121	96	25	0.2066115702479339	25	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Not enough languages	NA	NA	Not enough languages	GB123 LightVerb	Are there verb-adjunct (aka light-verb) constructions?
GB123	121	96	25	0.2066115702479339	25	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Not enough languages	NA	NA	Not enough languages	GB123 LightVerb	Are there verb-adjunct (aka light-verb) constructions?
GB123	121	96	25	0.2066115702479339	25	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Not enough languages	NA	NA	Not enough languages	GB123 LightVerb	Are there verb-adjunct (aka light-verb) constructions?
GB124	165	97	68	0.4121212121212121	68	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9330509172309834	0.0669490827690166	NA	GB124 NounIncorpIntrans	Is incorporation of nouns into verbs a productive intransitivizing process?
GB124	165	97	68	0.4121212121212121	68	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0.026415502517814868	0.9735844974821851	NA	GB124 NounIncorpIntrans	Is incorporation of nouns into verbs a productive intransitivizing process?
GB124	165	97	68	0.4121212121212121	68	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.005853175881486541	0.9941468241185135	NA	GB124 NounIncorpIntrans	Is incorporation of nouns into verbs a productive intransitivizing process?
GB124	165	97	68	0.4121212121212121	68	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.7321551004964191	0.267844899503581	NA	GB124 NounIncorpIntrans	Is incorporation of nouns into verbs a productive intransitivizing process?
GB126	197	66	131	0.3350253807106599	66	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Present	0.03407554427731729	0.9659244557226828	NA	GB126 ExistentialV	Is there an existential verb?
GB126	197	66	131	0.3350253807106599	66	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0.1532674818469469	0.8467325181530532	NA	GB126 ExistentialV	Is there an existential verb?
GB126	197	66	131	0.3350253807106599	66	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.061561104332684614	0.9384388956673153	NA	GB126 ExistentialV	Is there an existential verb?
GB126	197	66	131	0.3350253807106599	66	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.15788007691781603	0.8421199230821841	NA	GB126 ExistentialV	Is there an existential verb?
